Scaffold,ID,Start,End,Strand,5'UTR
ChrVI_A_nidulans_FGSC_A4,AN11191,65977,73676,+,0
ChrVI_A_nidulans_FGSC_A4,AN3227,1404699,1406470,+,11
ChrVI_A_nidulans_FGSC_A4,AN3318,1134476,1140692,+,0
ChrVI_A_nidulans_FGSC_A4,AN9180,178673,180792,-,61
ChrVI_A_nidulans_FGSC_A4,AN9517,2963565,2966496,-,1021
ChrVI_A_nidulans_FGSC_A4,AN2801,2770796,2772169,+,29
ChrVI_A_nidulans_FGSC_A4,AN11709,1596618,1598667,-,98
ChrVI_A_nidulans_FGSC_A4,AN3098,1842718,1845487,-,46
ChrVI_A_nidulans_FGSC_A4,AN3188,1538931,1543065,+,358
ChrVI_A_nidulans_FGSC_A4,AN9458,2708796,2711142,+,0
ChrVI_A_nidulans_FGSC_A4,AN3345,1021633,1023826,+,151
ChrVI_A_nidulans_FGSC_A4,AN2669,3206333,3207510,-,179
ChrVI_A_nidulans_FGSC_A4,AN2645,3275282,3276163,-,0
ChrVI_A_nidulans_FGSC_A4,AN2977,2195520,2197450,-,17
ChrVI_A_nidulans_FGSC_A4,AN2789,2805796,2806787,+,0
ChrVI_A_nidulans_FGSC_A4,AN2676,3175560,3179148,+,0
ChrVI_A_nidulans_FGSC_A4,AN3049,2007065,2009088,-,36
ChrVI_A_nidulans_FGSC_A4,AN10375,1806349,1807857,-,0
ChrVI_A_nidulans_FGSC_A4,AN10364,1948632,1949957,+,263
ChrVI_A_nidulans_FGSC_A4,AN2964,2229121,2230478,-,191
ChrVI_A_nidulans_FGSC_A4,AN2877,2520672,2522435,-,191
ChrVI_A_nidulans_FGSC_A4,AN3366,945962,946950,-,136
ChrVI_A_nidulans_FGSC_A4,AN3031,2057864,2059887,-,80
ChrVI_A_nidulans_FGSC_A4,AN11704,1977109,1978334,+,147
ChrVI_A_nidulans_FGSC_A4,AN3353,992886,994365,+,0
ChrVI_A_nidulans_FGSC_A4,AN2704,3094258,3096322,-,202
ChrVI_A_nidulans_FGSC_A4,AN2742,2948453,2949317,+,315
ChrVI_A_nidulans_FGSC_A4,AN2662,3224720,3226714,+,38
ChrVI_A_nidulans_FGSC_A4,AN3026,2068223,2072443,-,168
ChrVI_A_nidulans_FGSC_A4,AN9187,161608,163851,+,0
ChrVI_A_nidulans_FGSC_A4,AN2710,3072847,3073600,+,0
ChrVI_A_nidulans_FGSC_A4,AN2856,2588873,2590841,+,0
ChrVI_A_nidulans_FGSC_A4,AN9195,145847,146969,-,51
ChrVI_A_nidulans_FGSC_A4,AN9156,252992,255032,+,0
ChrVI_A_nidulans_FGSC_A4,AN2682,3159495,3161328,+,82
ChrVI_A_nidulans_FGSC_A4,AN2861,2577362,2579877,-,446
ChrVI_A_nidulans_FGSC_A4,AN9168,222682,224441,+,51
ChrVI_A_nidulans_FGSC_A4,AN10403,1219336,1220043,+,107
ChrVI_A_nidulans_FGSC_A4,AN2689,3138084,3141834,-,232
ChrVI_A_nidulans_FGSC_A4,AN2791,2801354,2801820,-,0
ChrVI_A_nidulans_FGSC_A4,AN2784,2816021,2816732,-,0
ChrVI_A_nidulans_FGSC_A4,AN3190,1529585,1531434,+,159
ChrVI_A_nidulans_FGSC_A4,AN3176,1579517,1581594,+,0
ChrVI_A_nidulans_FGSC_A4,AN9165,231203,233774,+,114
ChrVI_A_nidulans_FGSC_A4,AN11172,241953,242859,+,0
ChrVI_A_nidulans_FGSC_A4,AN10336,2893123,2894884,+,124
ChrVI_A_nidulans_FGSC_A4,AN3276,1255187,1256288,+,62
ChrVI_A_nidulans_FGSC_A4,AN2837,2640877,2642300,+,0
ChrVI_A_nidulans_FGSC_A4,AN3256,1322769,1324417,+,0
ChrVI_A_nidulans_FGSC_A4,AN9063,547960,552147,-,0
ChrVI_A_nidulans_FGSC_A4,AN2753,2916757,2917492,+,133
ChrVI_A_nidulans_FGSC_A4,AN2912,2416319,2418668,+,1154
ChrVI_A_nidulans_FGSC_A4,AN2763,2877683,2880508,+,7
ChrVI_A_nidulans_FGSC_A4,AN3462,640797,642254,+,31
ChrVI_A_nidulans_FGSC_A4,AN10332,3287644,3289137,-,0
ChrVI_A_nidulans_FGSC_A4,AN2733,2985549,2986953,+,0
ChrVI_A_nidulans_FGSC_A4,AN3075,1925398,1928042,+,149
ChrVI_A_nidulans_FGSC_A4,AN2925,2374542,2379472,-,221
ChrVI_A_nidulans_FGSC_A4,AN9117,386025,388841,+,209
ChrVI_A_nidulans_FGSC_A4,AN3130,1728874,1731633,+,262
ChrVI_A_nidulans_FGSC_A4,AN11166,396816,398944,+,141
ChrVI_A_nidulans_FGSC_A4,AN3143,1692054,1694832,+,11
ChrVI_A_nidulans_FGSC_A4,AN3282,1243526,1244950,+,0
ChrVI_A_nidulans_FGSC_A4,AN3280,1247564,1249129,-,73
ChrVI_A_nidulans_FGSC_A4,AN3207,1477403,1479729,-,299
ChrVI_A_nidulans_FGSC_A4,AN3000,2133696,2134842,-,98
ChrVI_A_nidulans_FGSC_A4,AN9223,43596,44582,+,0
ChrVI_A_nidulans_FGSC_A4,AN3237,1375807,1377662,-,0
ChrVI_A_nidulans_FGSC_A4,AN3468,632523,633387,+,95
ChrVI_A_nidulans_FGSC_A4,AN9078,501163,502172,-,67
ChrVI_A_nidulans_FGSC_A4,AN3055,1984310,1985736,-,51
ChrVI_A_nidulans_FGSC_A4,AN10384,1506182,1508300,-,0
ChrVI_A_nidulans_FGSC_A4,AN3423,767069,771896,-,172
ChrVI_A_nidulans_FGSC_A4,AN3449,679527,680886,-,173
ChrVI_A_nidulans_FGSC_A4,AN2955,2262278,2271307,-,182
ChrVI_A_nidulans_FGSC_A4,AN3373,925766,928264,-,72
ChrVI_A_nidulans_FGSC_A4,AN3140,1706020,1707922,-,37
ChrVI_A_nidulans_FGSC_A4,AN3139,1708305,1710156,+,0
ChrVI_A_nidulans_FGSC_A4,AN10346,2649831,2650680,-,0
ChrVI_A_nidulans_FGSC_A4,AN2919,2396774,2399915,+,213
ChrVI_A_nidulans_FGSC_A4,AN3442,706186,708182,-,295
ChrVI_A_nidulans_FGSC_A4,AN3154,1634607,1637370,-,95
ChrVI_A_nidulans_FGSC_A4,AN10348,2561865,2562538,+,39
ChrVI_A_nidulans_FGSC_A4,AN3185,1550133,1552137,+,202
ChrVI_A_nidulans_FGSC_A4,AN2721,3036819,3037811,+,0
ChrVI_A_nidulans_FGSC_A4,AN3398,833976,835863,-,0
ChrVI_A_nidulans_FGSC_A4,AN3013,2103063,2105677,+,85
ChrVI_A_nidulans_FGSC_A4,AN3453,668611,670503,+,114
ChrVI_A_nidulans_FGSC_A4,AN2738,2973570,2975487,-,78
ChrVI_A_nidulans_FGSC_A4,AN3295,1205046,1206060,-,0
ChrVI_A_nidulans_FGSC_A4,AN2847,2615477,2616675,+,42
ChrVI_A_nidulans_FGSC_A4,AN2776,2836280,2837524,+,125
ChrVI_A_nidulans_FGSC_A4,AN9091,459552,461231,+,270
ChrVI_A_nidulans_FGSC_A4,AN3433,736556,738220,+,289
ChrVI_A_nidulans_FGSC_A4,AN3375,920857,922820,+,207
ChrVI_A_nidulans_FGSC_A4,AN2910,2428259,2429226,-,20
ChrVI_A_nidulans_FGSC_A4,AN12378,1456344,1458133,-,0
ChrVI_A_nidulans_FGSC_A4,AN2917,2402906,2404800,+,143
ChrVI_A_nidulans_FGSC_A4,AN9143,318048,318878,+,70
ChrVI_A_nidulans_FGSC_A4,AN2692,3128184,3130176,-,187
ChrVI_A_nidulans_FGSC_A4,AN10358,2678090,2679366,-,0
ChrVI_A_nidulans_FGSC_A4,AN2640,3290052,3291362,-,156
ChrVI_A_nidulans_FGSC_A4,AN3095,1849352,1851452,+,194
ChrVI_A_nidulans_FGSC_A4,AN11164,433010,436116,+,663
ChrVI_A_nidulans_FGSC_A4,AN10338,2914312,2916328,+,86
